input_text,label
"Berater: wir müssen schauen, dass wir jetzt ein bisschen zum Ende kommen, weil ich gleich noch den nächsten termin habe.",advance
Berater: und dann ist es jetzt eben die frage wieweit man die finanzierung nur mit einem bausparvertrag abwickelt,advance
"Berater: Und was Sie wunderbar zurückschneiden können, wenn es wirklich einmal zu groß geworden ist:
Er sollte sonnig bis halbschattig stehen.
Wenn es zu viel Schatten gibt, verliert er die Färbung.",advance
Berater: okay  pass habe ich noch nicht vielleicht ist es gescheiter wenn ich jetzt das zurückziehe,advance
Berater: je nachdem nach flanze die wachsen alle n bisschen unterschiedlich auch eventuell en bisschen buschiger oder ein bisschen höher auch  wäre was so für den sonne bis halbschatten,advance
"Berater: 
Sie können also praktisch diese klassische Hypothek nehmen,
wo man sagt:
Meinetwegen ein Zinssatz – ich gehe jetzt einmal von acht Prozent aus – plus eins,
für dreißig Jahre.
Dann haben Sie vielleicht für fünf Jahre einen festen Zinssatz,
und davon geht man schon wieder ab, indem man sagt:
Eine tilgungsfreie Hypothek.
Das heißt, Sie bekommen fünfzigtausend Euro,
und die Bank verzichtet auf die Tilgung,
wenn dafür ein Vertrag angespart wird.",advance
Berater: da ist es da ist wieder die frage ob du das in eine reihe in irgendeine reihe unterbringst,non_advance
"Berater: Ich kann recherchieren, selektieren und auswählen.
So etwas steckt da auch drin.",non_advance
"Berater: dann hammer eigentlich das wichtigste, dann lass mer das verfahren wieder aufleben.",advance
Berater: es ist ja eine funktionsstörung und  keine keine begabungsstöllrung sondern eine funktionsstörung,non_advance
Berater: das nennt sich eau de citron noir  das ist mit schwarzer zitrone,non_advance
Berater: Sie meinen die Reaktionen die man so von außen zu spüren bekommt haben Sie sehr viel zu spüren bekommen?,non_advance
Berater: da ist ein also da habe ich ein platz belegt heute morgen und herr molle sagte mir eventuell einer noch aber mit sicherheit keine zwei.,non_advance
"Berater: die wollen nicht entlassen lassen, bevor nicht eine neue staatsangehörigkeit da ist",advance
"Berater: ich habe noch mal dort angerufen, nachgefragt jetzt ist kein eintrag mehr, ist jetzt alles prima.",advance
Berater: warten sie da gebe ich sie weiter an unseren experten.,advance
"Berater: den pAss bringen können sie auch, ja.",advance
Berater: und könnten sie mir noch ein paar aktuelle kontobewegungen angeben zu ihrer sicherheit?,advance
"Berater: wenn ihnen diese organisatiOn völlig fremd ist, sie müssen nicht versuchen jetzt zu verstehen, was dahinter steckt.",advance
Berater: und das wird gespritzt sie lösen sich auch wieder in wasser also wird mit wasser verdünnt,non_advance
"Berater: Berater:  neuen prüfungstermin?
Klient. neunten prüfungtermin?",non_advance
"Berater: und wenn er problEme macht oder so, sAgen sie, der herr diehl hat das mit der frau
trEpleff besprOchen,",advance
"Berater: Er ist aber, wie mir scheint, doch nicht so bereit, darauf einzugehen.
Die Lehrerin, die ihn zuerst unterrichtet hat – also die, die jetzt Schulleiterin ist –
war da einfühlsamer und eher bereit, darauf einzugehen.",non_advance
"Berater: Sie können jetzt natürlich auch den Bausparvertrag auf vierzig Prozent auffüllen.
Dann kommt der Vertrag etwas eher zur Zuteilung, nämlich auf knappe drei Jahre.",advance
Berater: Klient: muss ich das gleich machen oder kann ich das mitnehmen oder?,non_advance
"Berater: sind das alles kopien, kann ich das da lassen oder brauchen sie das?",advance
"Berater: Berater: sie wollen vis , den Aufenthaltsgenehmigung verlängern?",non_advance
"Berater: aber wir müssen die aufenthaltszeiten eintragen  von geburt bis zur einreise nach dEUtschland, und dann  von der EInreise bis heute, ne",advance
"Berater: Berater: sie haben ja immer in südstadt gewohnt, oder?",non_advance
"Berater:  Berater: Antrag und so weiter is alles schon da, ne? Haben sie den Antrag bei uns schon abgegeben?  ",non_advance
Berater: dann sagen sie mir doch erst mal ihren geburtstag.,advance
Berater: ich  entwickle m meinetwegen eine körperliche stärke  kann aber auch eine andere stärke entwickeln das ist auch ein bisschen abhängig was wird mir erlaubt was wurde mir erlaubt,non_advance
"Berater: Wenn man jetzt von äußeren Faktoren spricht also von Vitaminen oder so was, ja das  rührt also daher, daß man ähm  Beobachtungen hat, daß bei Vitaminmangelzuständen  es häufiger zu • solchen Fehlbildungen kommen kann, já.",non_advance
Berater:  dann müsste man das dann durchrechnen und sich genau angucken.,advance
"Berater: Und dann lauft das mir personlich, lauft das dann zu viel ins Geld.",non_advance
Berater: Berater:  dann brauche ich bitte die krankenkasse von ihnen. Klient. krankenkasse? das ist meine kranken  krankenversicherung  von meine heimatland  bis.,non_advance
Berater: haben sie jetzt Auch eine Arbeit?,advance
"Berater: Berater: wie grOß ist denn ihre famIlie?
wie viel kInder haben sie denn?",non_advance
"Berater: ja, sie haben füher noch keinen antrag gestellt, das haben sie verneint, okE.",advance
"Berater: Berater: heute termin, was für ein termin, abholtermin?",non_advance
"Berater: sie möchten gerne bei uns ein neues konto eröffnen, haben sie schon ein wenig informationen dazu bekommen?",advance
Berater: Klient: nein nein ich meine die die diese summe.,non_advance
"Berater: Gut herr elisai, dann hätten wir alles",advance
"Berater: Weil ich meine, nach der neuen Prüfungsordnung muss ich ja auch Pädagogik belegen – also ein erziehungswissenschaftliches Begleitstudium.",non_advance
"Berater: also wir fragen bei der polizei, beim verfassungsschutz, halt so gewisse grundregelanfragen, die mAchen wir",advance
Berater: Berater: ich meine werden sie wahrscheinlich nicht vOrhaben ne?,non_advance
"Berater: Berater: wenn sie möchten, dass wir das so einreichen, ohne ihr, ohne diese angaben, werden wir das tun.",non_advance
"Berater: tEllefonnummer, fAxnummer steht auch drauf, wenn noch was nachzureichen wäre.",advance
Berater: Klient. neben studium habe ich immer musste ich immer arbeiten.,non_advance
Berater: der kreiert sie selber alles molekulartechnisch der der   erfriert sie mit stickstoff kommt hierher der erfriert sie mit stickstoff,non_advance
"Berater: Sie sollte nicht so ganz in der vollen Mittagssonne stehen,
weil sonst die Spitzen sehr gerne schon einmal eintrocknen,
wenn es jetzt extrem heiß ist.",advance
"Berater: Berater: und dA dürfen sie, da dürfen sie jetzt miteinander reden, das ist jetzt echte tIEmwork, ne?",non_advance
"Berater: wenn dein bruder sehr schmal ist schätz ich mal dann  ist es vor allem wichtig dass du  einschätzt ob des ihm in der länge reicht
",advance
Berater:  Berater: was haben sie mir gerade gesagt?,non_advance
"Berater: sie dürfen mir einfach mal alle unterlagen, die sie mitgebracht habEn und hoffentlich schön ausgefüllt haben jawoll, des sieht schon mal ganz gut aus",advance
Berater: es ist ein einzelhaus also privathaus.,non_advance
Berater: und dann aufgrund dieser erteilten erlaubnis von türkischer seite fertigen wIr eine einbürgerungsurkunde und händigen ihnen die aus.,advance
Berater: der untere teil das muss ich ihnen vielleicht noch schnell erklären.,advance
Berater: und zwei si zwei bis drei semester vorher sollte man also schon jemand fest im auge oder griff haben,non_advance
Berater: sie hatten sie haben da allein gelebt oder mit mit ihrem  bei ihren eltern haben sie gelebt.,non_advance
"Berater: wie das dann im endeffekt läuft, darauf kommen wir dann noch mal drauf, wenn’s, wenn ihre einbürgerung kurz bevor steht.",advance
Berater: ich habe nämlich germanis philosophie gemacht philosophie und geschichte,non_advance
Berater: sie korrigieren mich gleich wenn ich da so falsche sachen raushöre oder so,advance
Berater: Berater: die Antworten liegen dann nach zirca vier wochen vor und dann müssten sie Uns wieder den pass bringen ja?,non_advance
"Berater: dann bekommt sie von uns also  das zurückerstattet ,was uns an Kosten entstanden wäre wenn sie auf Krankenschein zum Arzt gegangen wäre ",advance
Berater: wenn sie entgegenkommend sind dann  geben sie ihn auch gleich noch das  antragsformular mit,advance
Berater: vielleicht liegt es gar nicht an ihrer pumpe sondern an der an ihrem anschluss,non_advance
Berater: haben sie ja ich wollt nur die frage haben sie verträge schon bei anderen bausparkassen oder banken?,non_advance
"Berater: Das heißt, das zentrale Nervensystem wird während der Entwicklung das Kindes  zuerst offen  auf der Oberfläche das Embryos angelegt. ",non_advance
"Berater: dieses buch fit für die einbürgerung, das verwendet auch die frau pIckel in den kursen",advance
"Berater: Klient: ich war bei Ihnen bezüglich wissenschaftlichem  wissenschaftliches aufenthalt die ganze zeit, ja?",non_advance
"Berater: Berater:  ich habe das bei uns in dem, durch das programm laufen lassen?",non_advance
Berater: was ihrem einbürgerungsantrag im moment etwas behindert hatte war ja der eintrag im schuldnerverzeichnis.,advance
Berater: Klient. Und ich kann BMS arbeiten. Wissen Sie BMS? Was bedeutet BMS?,non_advance
"Berater: Das heißt also, für Verwandtschaft ersten Grades ist ganz klar, kann man das nachweisen, hat man genügend Familien,  sind die Zahlen groß genug, daß man  sagen kann, es ist  ne greifbare Erhöhung das Risikos.",non_advance
"Berater: Berater: der soll von hand geschrieben sein, wegen der kenntnisse, sprachkenntnisse wieder schriftlicher, handschriftlicher nachweis",non_advance
"Berater: Berater: ja nur wenn’s Ungenau, ungenaue angaben sind?",non_advance
"Berater: und da hat die kollegin von ihnen frau ebert angerufen, die wollte von mir, dass ich
diplomzeugnis vorbeibringe?",advance
"Berater: Berater: sie haben en zustellbevollmächtigten,
das ist der rechtsanwalt hans birkemann in kiel richtig?",non_advance
Berater: nein nein ich zahle fünfzig mark ja ich zahl fünfzig mark,non_advance
Berater: ich muss meine Kollegin fragen was Sie brauchen dafür̀ und was ist überhaupt möglich.,advance
"Berater: okay, das, das reicht aber in jedem fall für eine Anspruchseinbürgerung.  ",advance
Berater: wenn sie es brauchen können sie ja wieder einen antrag stellen,advance
Berater: das hat mich all- alles in allem zweitausend mark  gekostet und das war vor vier jahren jetzt vor vier jahren,non_advance
Berater: braucht man nämlich auch zur romanistik nur das gro- das kleine latinum?,non_advance
"Berater: Berater: die frau ebert ist, am drEizehnten mai ist sie wieder da.",non_advance
"Berater: Ich habe mich über alles informiert.
Ich habe mich informiert, wo man mit dem Bus parken kann.",non_advance
"Berater: vom verfAhren her, nur zur erlÄuterung, bei tÜrkischen staatsangehörigen ist es nach erteilung einer einbürgerungszUsicherung erforderlich dass sie von tÜrkischer seite, also über das generAlkonsulat in nürnberg eine erlAUbnisurkunde einholen.",advance
Berater: und dann können sie wieder kOmmen und mir den pass brIngen?,advance
Berater: Also ich versuche es jetzt ihnen zu erklären: Sie haben die Möglichkeit 300 Stunden zu bekommen.,advance
"Berater: Berater: habe ich gestern Angerufen der herr
sAlzberg sAzberg, der hat gesagt, ja ich brauche so die Arbeiterlaubnis",non_advance
Berater: können sie mir dann gerade noch sagen  geben sie es mal so ein und dann können sie mir nachher geben wie sie durchgehen.,advance
"Berater: Berater: sie gehen bitte zum fotografen, gehen sie bitte nicht zum Automaten, der automat macht falsche bilder, gehen sie bitte zum fotografen, hier ist ein muster.",non_advance
"Berater: Berater: ja nur, das muss er uns dann kurz schriftlich erklären, ja?",non_advance
"Berater: okay, sollten sie das nicht zu hause haben rufen sie bitte An und lesen ihre
sozialversicherungsnummer vor",advance
"Berater: Ich habe' nicht ganz nicht ganz mitgekriegt, in welcher Klasse?",non_advance
Berater: ja der herr vorher hat mir gesagt ich muss eben zuerst ein depot bei ihnen eröffnen.,advance
Berater: dA sollten sie schon mal nach hypothekendarlehen umschauen und bestehende sachen wie zum beispiel  bausparen bausparverträge mit einbeziehen.,non_advance
"Berater: naja, ich nehme an da müssten ja irgendwelche übergangsreglungen in kraft treten",advance
"Berater: wie schicke ich den am besten, einfach so normal oder eingeschrieben?",advance
Berater: ja. Ich schau mir mal das wesentliche mal vorweg an.,advance
Berater: wie lange soll der auftrag gültig sein?,advance
"Berater: ich werde in der zwischenzeit schon mal n bisschen die anderen unterlagen prüfen, durchschauen, einkommensnachweise damit wir parallel arbeiten und vorwärtskommen.",advance
"Berater: deswegen müssen wir immer so kleine fAngfragen stellen, ob sie alles verstanden haben, aber, aber sie, sie sind schon, sie wissen schon, um was es geht.",advance
"Berater: Berater: wenn sie die imma, wenn sie die immatrikulatIon mir vorlegen, nEIn.",non_advance
"Berater: Klient: krieg ich jetzt ne abschiebung, oder wie?",non_advance
Berater: der günstigste schnittzeitpunkt wär im frühling frühjahr vor dem frühjahrsaustrieb abernach dem winter (.)da]s heißt meistens so mitte ende märz  mitte ende märz,non_advance
"Berater: Berater: so und zu welchem problem hauptsächlich hätten sie gern was gewusst,  zur finanzierung oder? ",non_advance
"Berater: Wenn Sie möchten notiere ich mir gerne noch mal Ihre Telefonnummer  und ich frage meinen Kollegen, der ist heute leider nicht da, der ähm sich sehr gut auskennt mit ähm afganischen Personen.",advance
Berater: Klient: also da das habe ich mein fra das war meine frage,non_advance
Berater: geben sie mir einmal die kontonummer herr keller,advance
"Berater: dann kann nachher also ein irgend jemand ihnen die sachen streitig machen, also das ist eine schlimme sache",advance
"Berater: Berater: denn da ist nämlich noch ga  ganz unklar ganz und gar nicht geklärt, wie das mit dem grund und boden dann wird",non_advance
Berater: Berater:sie sagten eben sie würden nachprüfen obman berechtigt ist  privaten ersatz zu bekommen was bedeutet das?,non_advance
"Berater: sich in südstadt aufhalten können, haben sie diese bestätigung, und Ich habe den pAss.
",advance
"Berater: 
Heute sagt man schon: Die Bank verzichtet vollständig auf die Tilgung,
wenn man von vornherein diesen Vertrag in entsprechender Höhe abschließt.
Wenn man den einmal anspart, steuerliche Vergünstigungen in Anspruch nimmt
und bei der Zuteilung schon die gesamte Hypothek ablöst –
und nicht immer so kleckerweise Teilablösungen macht",advance
"Berater: Berater: ja und wie ist das dann mit dem studium in wipperfeld fährt er dann jeden tag nach
wipperfeld?  
fährt er dann jeden tag hin?",non_advance
Berater: das lautet auf ihren namen herr kalbermatter wie ist der vorname?,advance
Berater: ich habe eine frage zur eigenheimfinanzierung.,advance
Berater: Und es steckt auch drin wenn sie sagen ja da habe ich e mails geschrieben und te tele und nachtelefoniert da steckt für mich ich kann dranbleiben.,non_advance
"Berater: Wobei Sie ja den Vorteil haben, dass Sie für das Latinum ein Semester abziehen können.
Also, für das Kleine Latinum steht Ihnen mehr, können also fürs kleine latinum ein ganzes semester abziehen von ihrer studienzeit",non_advance
Berater: und jedes inskribierte semester zählt jetzt ist es so  wenn man ein studium später als nach dem zweiten semester wechselt dann ist es ein verspäteter studienwechsel,advance
"Berater: Berater: ich mache ihnen ganz einfach von der vorderseite eine kopie, da steht sie ganz groß drauf, ja?",non_advance
"Berater: sie mÜssten mir nUr dIese lEtzte lOhnmitteilung ihres mAnnes mitbringen, und dann noch mal das mitbringen",advance
"Berater: In der neunten, ah, das heißt, Sie sind bald fertig?",non_advance
Berater: ja aber ich frage noch schnell am schalter nach nicht dass ich sie dorthin schicke und nachher bekommen sie doch nicht.,advance
"Berater: nein, sie können natürlich kaufen oder finanzieren ohne irgendwelche bausparverträge",advance
Berater: wenn wir auslandaufträge entgegennehmen müssen wir eine limite haben von ihnen,advance
Berater: ja lassen sie es jetzt einfach so laufen und sonst wenn sie nicht gehen geben sie es halt ein bisschen höher ein,advance
Berater: Berater: sie wissen ja wie meine telefonnummer ist nicht wahr?,non_advance
"Berater: Ich bin Hausfrau, Mutter, seit die Kinder auf der Welt sind, vorher ungelernte Arbeiterin, also angelernte Arbeiterin.",non_advance
"Berater: Also, das dürfen sie mal noch behAldn?",advance
"Berater: ich habe eigenlich architektur studiert darf ich  ueine ausweis geben bitte
",advance
Berater: okay jetzt geben wir da mal schnell den kauf noch ein welche limite geben wir ein?,advance
Berater: wenn ich es am zeh erste zehnte aufgebe. dann erwart ich wenn das nicht geht dann dass jemand mich anruft  und sagt passen sie auf das und das und das.,non_advance
Berater: wie ist das eigentlich jetzt während der zeit wo in der meine frau also nicht arbeitet  das ist dieses   diese  schonzeit oder wie man das nennen soll.,non_advance
"Berater: Berater: ist ja fertig jetzt, ist ja jetzt fertig weil das studium ist ja jetzt beendet, sie suchen ja jetzt arbeitsplatz.",non_advance
"Berater: Berater: ja, die Zeiten, werden ja alle angerechnet, ne?",non_advance
"Berater: wenn diese pass ist schon fUll, was passiert?",advance
"Berater: Berater: nee, dieses lange, so ein großes, großen zettel ist das.",non_advance
"Berater: ich habe den jetzt mal angerufen, und der hat mir gesagt er hat so viel zu tun",advance
Berater: das ist das nennt sich en jardin sur la lagune  ein garten auf der lagune,non_advance
Berater: hier könnte man folgendes machen bekommen sie vermögenswirksame leistung?,advance
Berater: sind sie länger als sechs jahre in deutschland?,advance
Berater: wir müssen wissen welches einkommen hatten sie von september bis dezember,advance
"Berater: alles klar, gut. dann geh ich mit ihnen jetzt noch kopie machen und die sache ist dann erledigt, ja?",advance
Berater: und zum andern so ein kind braucht   ganz klare linien  ja  klare linien in der erziehung,non_advance
Berater: haben sie schon eine Zusage ihrer Bank?,advance
"Berater: Berater: ich gebe ihnen jetzt eine bestätigung, dass der pass bei uns liegt, ja?",non_advance
"Berater: und dieses restkaufgelddarlehen, können sie beantragen über die bank, bei der sie:, ihre wohnung finanzieren.",advance
Berater: dafür kenn ich aber jetzt kenn ich die bedingungen jetzt noch nicht,non_advance
"Berater: Berater: ohne Pass können Sie nicht heiraten Ohne Pass läuft nix Ohne Pass kann auch ich nicht heiraten, Ok?",non_advance
Berater: möchten sie ein haus bauen oder eine wohnung kaufen?,advance
Berater: wir müssen aber einen teil kredit aufnehmen; was sind denn die günstigten banken?,advance
Berater: Berater: und dann gibt es einen Kurs von Berufsvorbereitung  siebenhundert Stunden das heißt insgesamt tausend Stunden kann er bekommen wenn er beginnt am ab A eins.,non_advance
"Berater:  ich hätte gern erst mal den pass damit ich schaun kann, was in dem visum drinsteht.",advance
"Berater: Berater: ja bei ihnen, aber ich muss nach ihnen, nach ihrer verlängerung dann zu das amerikanischekonsulat.",non_advance
"Berater: Das kann sein . , dass sich das hinterher in die andere Richtung also dass es günstiger wird",non_advance
Berater: und dann kreiert er düfte für diesen staatgast  staatsgäste,non_advance
"Berater: Berater:  ist die für, ist die für deutschland gültig, die krankenka?",non_advance
Berater: Klient: was meinen sie jetzt?,non_advance
Berater: ich meine viele werden da v- viele fangen ja erst an mit der disserHtation oder so die werden auch nicht mehr sagen können,non_advance
Berater: hat sich ihr name geändert?,advance
"Berater: so, haben sie die dUldung Auch dabei?",advance
"Berater:  Berater: also das Problem ist, wenn Sie den Antrag stellen muss Hamburg bezahlen für Sie. Verstehen Sie sobald sie in Hamburg wohnt, muss Hamburg Sozialgeld, Unterkunft etcetera bezahlen.",non_advance
Berater: das bezieht sich also auf tarif drei mit der niedrigsten rate und würde ich immer empfehlen denn wenn sie wollen können sie ja zu jeder zeit mehr zahlen.,advance
Berater: sie müssten aber bitte zum herrn rAum rüber,advance
Berater: dann haben wir die möglichkeit sie beim kunden in ein praktikum zu geben und dann ist die  möglichkeit der einstellung durch uns sehr gut,advance
Berater: haben sie irgendwie einen ansprechpartner wie geschäftsführung oder sonst irgendwas?,advance
"Berater: Berater:  kann ich mal sEhen um nAmen zu lesen, bitte? nAmen lesen, nUr nAmen lesen? famIlienname?",non_advance
Berater: Berater: Und was haben Sie gesagt gut oder nicht gut?,non_advance
"Berater: die schreibweise ihres namens in ihrem nationalpass, so wie sie dann irgendwann einmal, wenn die langsamen beamten dann irgendwann mal ihre einbürgerungsurkunde schreiben, die sin aber doch schneller als sie beim ausfüllen dieses vordrucks, das muss ich jetzt emal frecherweise mal sagen, ne?",advance
"Berater: Berater: Nein also, dass Sie zusammen  Sie können heiraten wen Sie wollen, das meine ich nicht aber ich möchte  ich möchte wissen ähm warum muss das so schnell  also warum muss das diese Woche sein, kann das auch in Dezember sein, das ist meine Frage. Kann das auch im Dezember sein?",non_advance
Berater: ja das aber das problem ist auf der ef ha  jedes semester wird was anerkannt nicht einfach alles auf einmal,advance
"Berater: Berater: Gut, und sie haben mich jetzt verstanden?",non_advance
"Berater: Berater: sie haben jetzt damit erklärt, dass sie all diese dInge, die demokratischen grundsätze,
unterstützen, ne?",non_advance
Berater: un dann brauch ich noch was  für den rasen  unkraut rasen unkrautvernichtung,non_advance
Berater: wie geht das muß ich mir einen prüfer in al- in der alten und in der neuen suchen,non_advance
Berater: weil wenn sie den angeben dann finden wir es eben auch viel schneller,advance
"Berater: Das können Sie ja.
Da können Sie ja immer wieder darauf zurückgreifen.",non_advance
Berater: also hundertfünfzig werden sie eventuell benötigen und sie haben dreißig tausend jetzt zur verfügung.,advance
"Berater: guten tag,  welche fördermöglichkeiten bietet das land das ist eigentlich die frage die ich habe.",advance
"Berater: wunderbar, okay, weil ab dem 23. Geburtstag brauchen wir EInkommen",advance
"Berater: Berater: ich darf mal nachfragen sie haben vor, eine eigentumswohnung zu erwerben. oder?",non_advance
"Berater: Berater: und zur passabholung in zwEi wochen bitte beide bescheinigungen wieder mItbringen, ja?",non_advance
"Berater: Berater: es geht um ihre US quellensteuer nicht wahr also um das formular, welches sie uns zugeschickt haben.",non_advance
"Berater: Berater: ja, ansonsten fällt mir jetzt nichts mehr ein. ansonsten fällt mir jetzt nIchts mehr ein.",non_advance
Berater: so irgendwann geht mir schon lust aus ne also irgendwann kannich (einfach) nicht mehr es ist so viel gerüche,non_advance
Berater:   ich habe was für dich das würde ich dir gerne mal zeigen wollen ganz neu reingekommen.,advance
Berater: wie war jetzt diese erste sitzung für sie wie geh es ihnen was nehmen sie mit?,non_advance
"Berater: nee, momentan bekomme ich noch aufstockende leistungen von der arge.",advance
"Berater: Berater:  die den  prÜfungstermin im märz, waren sie dort gewesen? waren sie da?haben sie das ha prüfung gemacht?",non_advance
Berater: Berater: Deshalb wenn sie heiraten ist es mög  ist es sehr… ist es  hat sie einen Anspruch nach Hamburg zu kommen,non_advance
Berater: Klient: meinen sie das jetzt ernst?,non_advance
"Berater: Es geht nicht dArum, ob sie diese organisationen kEnnen, sondern  ob sie die  unterstÜtzen",advance
"Berater: wIr stellen über die deutsche ausgleichsbank, eigenkapital in  zur verfügung. das heißt ein blAnkokredit",non_advance
"Berater: Sie können auf diesen Sparbeitrag vermögenswirksame Leistungen anrechnen lassen,
sodass man diese dort mit anlegt.",advance
Berater: haben sie einen anerkennungsbescheid schon da?,advance
Berater: ich muss im jUni nach amErika fliegen,advance
Berater: da frag ich mich dann auch der brauch mich ja dann nicht warumwarum soll ich da meine  zeit investiern wenn er mir weder punkte bringt noch sonst irgendwas ne,advance
Berater: zeitplan ist zwar ja ist vielleicht micky mausi ich schreib eine liste auf aber es ist ja ein tool ist ein werkzeug ein hilfsmittel für jemand andern  ,non_advance
Berater: dann müsste man noch überlegen welche sicherheitsschiene man zUsätzlich bringen kann,advance
"Berater: ist jetzt gerade gesagt worden es gebe sehr viele fälschungen von den bahrainischen dinar und wir würden es einfach nur zum inkasso entgegennehmen das heisst, wir würden es zuerst bei uns in den handel schicken um zu prüfen ob die noten gut sind.",non_advance
"Berater: sie sind glaub ich in den schlossgartengaststätten irgendwo beschäftigt und da haben sie ihn mal angesprochen, ob die kinder schon deutsch wären",advance
Berater: und ist das das ist ihr original da brauch ich eine kopie von diesem bescheid und von ihrem pass auch eine kopie vom flüchtlingspass,advance
"Berater: wurde die Hausmaschine von uns schon drei Wochen, morgen drei Wochen an Ihr Werk zurückgeschickt",non_advance
Berater: Genau. und wie lange? wie lange war das?,non_advance
Berater: wir haben es mal ganz genau durchgerechnet im vergleich mit anderen bausparkassen   ,advance
"Berater: ja sie können bis zu fünf jahre tilgungsaussetzung wählen, ist aber nicht sinnvoll.",advance
Berater: habe ich mich da irgendwie vertraglich gebunden  daß ich das zahlen muß  jeden Monat,advance
Berater: aber mir geht es ja eher  oder im in dem coaching geht es ja eher so wenn sie sagen hauptding ist fokus ich will lernen mich zu fokussieren,non_advance
Berater: am robustesten wäre jetzt oben die rote glanzmispel der kirschlorbeer hundert  hundertzehn prozent robust,non_advance
Berater: Berater: und sie haben mich jetzt verstanden?,non_advance
Berater: zum vergleich zum mit so einem klaren  was was ähnlich dem wär (aber) doch ein bisschen anders noch man zum vergleich,advance
Berater: sie dürfen maximal im Kalenderjahr zehntausend Euro dazuverdienen,advance
"Berater: Berater: die unt, die originalunterlagen, die legen sie uns dann vor.",non_advance
Berater: das wär so ein anliegen wo ich hör so ja ich will eine selbstreflektion die mir  die mich motiviert,non_advance
Berater:  wieviel würden sie denn bei einem krankenhausaufenthalt im nn- krankenhaus an arztkosten übernehmen wieviel prozent ,non_advance
"Berater: Das heißt, als  zu einem sehr, sehr frühen Zeitpunkt  einem Zeitpunkt, wo sehr viele Frauen überhaupt noch nicht wissen, daß sie schwanger sind.",non_advance
"Berater: Berater: also sie müssen Immer DRANbleiben,
bIs sie dem anwalt auf die NERVEN gehen dass er ihnen das schIckt;",advance
Berater: Ich würde die beiden Ausweise einmal mitnehmen weil die kennt sich damit besser aus als ich.,advance
Berater: Berater:Also Sie sind seit zweitausend dreizehn in Deutschland oder schon früher? Seit wann sind Sie in Deutschland?,non_advance
"Berater: wie gesagt können sie auch bei unserem verein mal in eine beratung kommen, wo wir dann  auch literatur haben",advance
Berater: es sind zwei daueraufträge 1115 und 190 franken den sollte man jetzt noch einmal zahlen dann für november und dann streichen.,advance
"Berater: ich bin mir sicher, dass die deutschkenntnisse ausreichend sind, um dieses formulAr zu verstehen, es ist ja auch eine wIchtige einbürgerungsvoraussetzung, auch wenn der mann noch so gerne hIlfsbereit ist und da unterstützend eingreifen will.",advance
"Berater: Berater: und dass die gefahr ist ja immer dass man sich vielleicht selber überschätzt,  beziehungsweise dass man auch durch öffentliche fördermittel die ja zum teil gewährt werden sich sehr schnell verfÜhren lässt",non_advance
"Berater: Also sie möchten Ihre hundert Stunden haben, haben Sie schon eine Schule gefunden?",advance
