input;end_label
Sie müssen, wenn Sie hier fertig sind, in der Lage sein, sich selbstständig etwas Neues zu erarbeiten.;advance
Fünf Wochen sind es bis zu den Fastnachtsferien, danach habt ihr Abitur.  ;advance
Haben wir ein Beispiel, ich glaub schon. Ah, ja. Okay.;advance
Okay, fangen wir links an, euer Beispiel.;advance
Sie haben schon eine Definition?;advance
Super, dann können Sie sich hier hinten an den Computer anmelden, wenn Sie möchten.;advance
WAS sehen Sie so, können Sie ds nochmal genauer erläutern?;advance
[Okay, ja]. Wie sehen das die anderen? Sehen die das genause wie S?;advance
Herr Schneider, haben Sie eine E-Mail bekommen mit dem Sponsorenbrief?;advance
Vierte Stunde ist das, oder?;advance
Ich nehme S6 dran und dann dürfen die übrigen weiter drannehmen. S6!;advance
Ich kann wirklich nicht so viel Zeit aufbringen, weil ich gehört habe, dass die 13/2 am Montag eine Deutscharbeit schreibt, das heißt, da fehlen mir wieder einige.;advance
Ich erschrecke jedes Mal, wenn ich in den Kalender schaue, wir haben nur noch fünf Wochen.  ;advance
Zwei Klassenarbeiten, in VWL schreiben wir nur eine.  ;advance
Und die zweite Aufgabe ist über Kapitel D, aber der Schwerpunkt Bilanzkennzahlen also das, was wir gerade machen;advance
Ich habe ja mal gesagt, dass ich mit euch noch so eine Art kleinen Crashkurs machen möchte zur Abivorbereitung.;advance
Wir brauchen die fünf Wochen in BWL zwar nicht ganz, um den Stoff fachlich aufzuarbeiten.  ;advance
Vor zwei Jahren habe ich das auch gemacht in VWL mit einer Klasse, da waren auch alle komplett da.  ;advance
Dann starten wir nächste Woche mit dem Übungsteil.;advance
Ja, ist hauptsächlich für die Berufsschule, aber ich dachte, es betrifft euch vielleicht auch mal.;advance
Es hat immer irgendjemand Mittagsschule, cann können wir es gleich vergessen.;advance
Es hat immer irgendjemand, und wenn es nur dienstags Bio ist, montags ist es alles andere.;advance
Dienstag wäre lockerer, die meisten haben nur sechs Stunden. Ich glaube, Conny hat als Einziger sechs, der Rest hat maximal vier;advance
Habt ihr in der fünften und sechsten Stunde Unterricht?;advance
Die Klassenarbeit haben wir jetzt festgelegt auf den 18.;advance
Ja, das kommt so in der Klausur vor – genauso.;advance
Wir legen los – alle brauchen jetzt zwei Blätter.;advance
"Aufgabe eins: Berechnet die Kennzahlen zur Kapitalstruktur für das Jahr 2007: was sagen die Kennzahlen zur Kapitalstruktur generell aus?
";advance
Yilmaz, Matthias – erkundigen Sie sich nach dem Klassenarbeitstermin auch?;advance
" 
Generell schon mal richtig: Wenn es nur eine Seite der Bilanz betrifft, ist es vertikal, das heißt  von oben nach unten gesehen und nicht von links nach rechts.  ";advance
So argumentieren in der mündlichen Prüfung, dann kann eigentlich nicht viel passieren.;advance
Schaut mal auf das zweite Blatt, ganz unten, unter den zwei kurzen Strukturbilanzen.;advance
Nehmt gerade mal noch das andere Blatt was ich euch schon lange ausgeteilt habe.;advance
Und nur die ersten drei Bilanzkennzahlen lasst ihr mal weg. Darauf gehen wir speziell nochmal ein.;advance
Also jeder macht das mal fünf Minuten zu zweit.;advance
"Wer kann kurz erklären, was Rückstellungen sind?
";advance
Ja, auf welcher Seite sind wir eigentlich?;advance
Karin, sagen Sie mir nochmal, was die dreißig Prozent aussagen.;advance
Aufgabe zwei unten, gerade noch das ausfüllen.Tina, lesen Sie mal vor, bitte.;advance
"Fanni, was sagst du darfst anfangen wo du willst.
";advance
Jetzt brauchen wir den Overhead, ne?;advance
Das kannst du auch unten drunter lesen, weil es so klein ist, kannst du’s lesen?;advance
Wenn das jetzt eine Klausurfrage wäre – mein lieber Schwan, du bist in der 13. Klasse kurz vor dem Abitur.;advance
Also wenn du es gewusst hättest, dann hättest du es halt sagen müssen.;advance
Was stellst du fest, welche Entwicklung? ;advance
Haben wir dazu eigentlich schon was aufgeschrieben?;advance
Ich würde ganz kurz gerne Seite, die ich aufgegeben hatte – gelesen habt.;advance
ja guckt euch gucken wir uns ganz kurz die forderungen an was sagt ihr zu diesen forderungen;advance
Also für mich war die schönste Stelle wo er angefangen hat mit der Trompete zu spielen.;advance
und wissen sie die beiden prüfer sind ja gleichberechtigt es ist ja nicht nicht so als ob der eine beisitzer wäre oder.;advance
das hielte ich für  studientaktisch, außerordentlich klug das zu tun weil weil das sonst ziemliche irritationen auch für Sie ist das doch sehr viel sicherer.;advance
wichtig zur prüfung insgesamt sie müssen die gesprächsführung sozusagen machen;advance
ich wollt bloß noch mal fragen wegen dem examen.;advance
also ich muss in wirtschaftsgeographie eine vierstündige klausur schreiben.;advance
"wie sieht es denn aus; könnte man bei Ihnen eine diplomarbeit schreiben, n irgendwie wirtschafts-geographischen bezug?";advance
"Und sonst, die exkursionen die halt mit den seminaren stattfinden, muss ich als wirtschaftswissenschaftlerin; auch an den seminaren teilnehmen, oder kann ich die jeweiligen dozenten fragen; ob ich nur die exkursion brauche?";advance
"also meines wissens sind noch plätze da; ich hab jetz nich die letzten stand, weil heut nachmittag haben wir ja vorbesprechung.";advance
ja hat mir der herr kerch nämich heute morgen erzählt;advance
"ja; auch da muss ich unterstellen, dass Sie wahrscheinlich, das so gemacht haben; wie Sies grade nicht machen sollten.";advance
"jetzt schauen sie sich mal diese anlage an.
";advance
Wer kann erklären warum durchgeschaltet wird?;advance
Vielleicht können wir das ganze mal von vorne machen?;advance
woher wissen se jetzt dass blende im luftspalt steht?;advance
welche Aufgabe hat diese Diode, wer kann das erklären?;advance
"wir sind immer noch beim thema handelsfeld nummer vier
ausbildung im betrieb selbst
ich wiederhole das nochmal kurz damit sie wieder einen anschluss kriegen.";advance
heute nun geht es um das thema ziel der ausbildung, so heute wird einiges an der tafel stehen;advance
was is des ziel, welches ziel verfolgen sie  wenn sie ausbilden?;advance
Sagt Ihnen der Name Bobby Fischer was?;advance
"neunzehnhundertzweiundsiebzig da wurde er gerade weltmeischter in schach
";advance
also er brauch kenntnisse  und er muss es handwerklich auch drauf haben ja für jeden handwerksberuf;advance
Wie nennt man das wenn jemand gut mit Menschen umgehen kann?;advance
er sollte auch vielleicht noch die fähigkeit haben die zwei sachen  miteinander verknüpfen zu können.;advance
Sie machen das bitte jetzt in Partnerarbeit;advance
"was kennzeichnete diese kollegen aus mit denen sie gerne zusammengearbeitet haben?
";advance
ja geht so in die richtung was die beide gesagt haben;advance
ja wie guckt jemand der arrogant guckt wie würden sie sagen?;advance
genau rücken zuwenden, richtig;advance
anzeichen  für mangelnde soziale kompetenz wäre?;advance
zum beispiel wenn man sich mit dem  über nichts unterhalten will außer die arbeit zum beispiel auch;advance
ja vielleicht so generationenprobleme dass wenn ein extrem junger  mitarbeiter mit einem  ziemlich alten zusammenarbeitet;advance
"was wäre jetzt zum beispiel ein unangenehmer kollege vielleicht älterer kollege für sie?
";advance
warum macht jemand so was  mit absicht informationen zurückhalten?;advance
das könnte man auch darunter verstehen man könnte aber auch verstehen er hat vielleicht schon mehr erfahrung in dem bereich behält es aber  bewusst zurück;advance
"
wenn man mit jemandem arbeitet der  eigentlich nie was sagt und ach information  für sich behalt in dem moment
";advance
 so in die richtung genau;advance
aber ich denke die anderen sind soweit mit einverstande was der herr günther ach vorhin gesagt hat;advance
ja  teamarbeit muss funktionieren sonst fährt  der betrieb gegen die wand.;advance
wie würden wir das mathematisch jetzt ausdrücken wie setzt er sich zusammen?;advance
ja ich würde das jetzt so sehen wie der gesamtwertungsgrad;advance
es] kommt null raus was ist wenn des hier null ist?;advance
sie müssen ach gute  kollege sein sie müssen auch sozialkompetent sein sonst bringt das nichts.;advance
das zentrale ziel das heißt kompetenzen zu erwerben  im umgang mit literarischen texten;advance
genau die identitätsbildung und interaktionsfähigkeit das ist das hauptbildungsziel.;advance
vielleicht würden manche lehrer aber das andere modell bevorzugen aber dazu kommen wir gleich noch aber jetzt schauen sie mal;advance
ja richtig das ist zentrales ziel des literaturunterrichts und dient  der erreichung;advance
empathie dient ja eben der identitätsbildung;advance
sie dürfen gerne malen oder auch so erklären;advance
die identitätsbildung würd ich an die spitze setzen;advance
wie ist es denn mit der lesemotivation  bei  leubner saupe und bei spinner?;advance
"können heutige schüler damit was anfangen und wenn ja was?
";advance
die schüler haben die möglichkeit sich mit figuren zu identifizieren oder auch eben nicht, das is in einem sachtext nicht gegeben;advance
"man kann subjekti]ve deutungen auch vornehmen
";advance
was könnte für lehrer überhaupt schwierig sein an diesem wohlgeordneten model?;advance
ja  und bei leubner saupe is also das textverstehen ganz wichtig um eben die bildungsziele zu erreichen;advance
mein thema ist  das thema literarisches lernen;advance
" sie dürfen auch in ein exemplar hineinschauen wenn sie mögen
";advance
Könnten Sie das näher ausführen?;advance
aber was genau wenn ich ein drama aufführe was muss ich ergänzen?;advance
"das ziel ist kommunikationsfähigkeit auszubilden in ganz verschiedenen kommunikativen lebenssituationen
";advance
"schreibdidaktik  ganz wichtig jetzt in  neuerer zeit die prozessorientierte schreibdidaktik was besagt denn die?
";advance
was ist noch sehr wichtig oder was muss noch besonders berücksichtigt werden bei der überarbeitung häufig?;advance
"ja dass das was sie produzieren nicht ausreicht um alles  was sie verkaufen zu decken und deshalb müssen sie aus dem lager verkaufen
";advance
Warum gehören die betriebskosten nicht dazu?;advance
"ja, also ich muss ja nur die scheine einreichen für lehramt;";advance
"ich wäre auch nach
dortmund gegangen; aber ich wollte lieber hierhin;";advance
"ja
auf alle falle; da hätte ich
auch drauf geachtet;";advance
das stimmt auch wieder.;advance
 und warum sind sie denn nicht gekommen?;advance
"ja; also das geht um das seminar vom lesen und schreiben und da wollte ich einen kleinen schein abholen.";advance
"das war ne sehr selbstständige arbeit ich habe Ihnen geschrieben; eine sehr gut informierte arbeit, die historisches hintergrundwissen überzeugend mit textanalyse verbindet;";advance
"was ist jetzt der witz an dieser normalparabel hier?
";advance
und wenn Sie ein bisschen übergreifender das ganze bearbeiten?;advance
also das könnten Sie zumindest in der einleitung diskutiern, und dann haben Sie ein bisschen mehr literatur die Sie angeben können.;advance
So…ich habe hier ein Papier hingelegt und würde sagen, besprecht mal in der Gruppe sofort zu erst und notiert  ein bisschen was.;advance
Ich gebe Ihnen wieder solche Zettel zur Auswahl und Sie können sich einen aussuchen, den Sie möchten.;advance
dann fangen wir vielleicht ganz einfach an  mit der nummer eins;advance
"gibt es noch was was sie unbedingt sagen möchten 
wo sie das gefühl haben wenn ich das jetz nicht sage dann ist meine ganze prüfung nichts wert";advance
also erklären sie mal an einem beispiel was ihnen jetzt selber einfällt;advance
wenn Sie sich bemüht haben, mehr kann man nich verlangen, das buch können wir nicht herzaubern, wenn das verliehen ist, dann müssen wir uns eben mit den anderen soweit behelfen.;advance
"ja; und zu DIEsen sachen hier, reicht dieses jetzt? oder muss ich das von dem (...) auch noch; im detail wissen?";advance
"also ich hab noch gehört, das dürft natürlich;
 nich das gleiche thema sein, wie das schon ma WAR; also vielleicht  muss, also auf jeden fall irgendwie eine schwerpunktverlagerung irgendwo rein jetzt, wie kann man das machen;";advance
"ja; das hatt ich in der hausarbeit ja schon drin. das  so ich glaub drei vier verschiedene.";advance
und was könnte man dann da so untersu-chen, meintwegen also jetz sprache, grammatische sachen, so.;advance
"und wie könnte man das konkret nennen, dann das thema, also ich muss das denen glaub ich auch noch reinreichen;";advance
"ja norMAlerweise, müssen Sie das nicht, einreichen; sondern  das reicht der prüfer ein.  ";advance
"Sie können sich das ja anschauen und dann sagen Sie mir noch mal bescheid, und dann   formulier ich das
thema endgültig.";advance
"man könnte natürlich auch das thema generell n bisschen weiter fassen; aber (jetz) Sie haben ja nur ne begrenzte zeit, insofern halt ich es für sinnvoll, das thema doch schon; ; deutlich einzugrenzen; das erleichtert Ihnen die arbeit denke ich.";advance
"dann machen Sie das für beide themen, und  überlegen sich das noch mal mit der eingrenzung des themas, wie das  letzendlich aussehen soll;";advance
"ich würde vorschlagen, Sie schaun sich das vielleicht mal an, also was was es da gibt, auf dem;  sektor, und  kommen sie einfach nächste woche noch mal kurz vorbei, oder Sie schicken mir eine email";advance
also die woche vor ihrer prüfung bin ich nicht da.;advance
"also da gibt es natürlich auch noch ganz interessante sammelbände; inzwischen,
überlege ob das sinn macht die Ihnen noch zu nennen";advance
dann nehm ich mir das einfach in die akten, das ist doch jetzt schon, der kommende prüfungstermin.;advance
"ich guck mal gerade bei IHnen bin ich  ja glaub ich mündlicher prüfer; ne,";advance
"ja; bis zum dreiundzwanzigsten; müssen Sie_ glaub ich die prüfungsthemen einreichen; ne,";advance
vielleicht noch mal vor der mündlichen noch mal vorbeikommen, so dass man dann da bespricht, oder?;advance
"also tun Sies in jedem fall dann; wenn Sie klärungsbedarf haben oder für sich unsicher werden ob des teilgebietsverständnis noch übereinstimmt, oder Sie oder ich mich weiterentwickelt haben;";advance
"den würde ich also wenn ich, danach frage; überhaupt; allenfalls am rande mit reinnehmen können; wegen der nähe zur magisterarbeit;";advance
"ich brauch die thesenpapiere nur kurz vor der prüfung, das is sozusagen das endgültige festklopfen, auch für Sie, dieses check up; was ist jetzt prüfungsgegenstand.";advance
"also, ich mach da nicht den druck;  klausur is bei uns jetz noch nicht ne, nicht dann muss ich etwas vorher;  definitiv wissen weil ja dann die klausurthemen ein paar wochen vorher gestellt werden; aber das entfällt ja.";advance
"wenn überhaupt, dann (...) am rand; und das thesenpapier;  sollte,  pro thema so etwa drei seiten;  als größen-ordnung haben,";advance
"ich ich muss ja hauptsächlich aufpassen wenn keine überschneidungen sind mit der germanistik, und mit der romanistik; und anglistik; aber das ist jetzt ja;";advance
in ordnung. wunderbar. dann mach ich mich jetz schön ran und werde möglichst bald diese thesenpapiere dann.;advance
die nebenfachprüfungen die sind manchmal schneller fertig als man merkt dass sie angefangen haben.;advance
"nein;
ich würde Sie ja nich gezielt über hayden white ausfragen; und selbst wenn Ihnen dann mal m das sinnvoll erscheinen, mit einem hinweis auf solche theorien der geschichtsschreibung zu antworten das ist keine schwierigkeit;";advance
"zu den labyrinthen, gibt es auch einen ordner; mit vorlesungs(sachen) also ich hab das bei den lehrveranstaltungen noch versucht, irgendwie dann so ein bisschen handlich aufzuarbeiten, das is nicht verpflichtend; aber gucken Se mal.";advance
"sagen Sie zur information noch mal eben
das das thema. worum gehts?";advance
da hatte ich auch bei herrn meier schon eine hausarbeit abgegeben zu dem thema, und das zweite thema wären halt entwicklungstheorien.;advance
"ich bin also noch nich dazu gekommen, das zweite thema richtig vorzubereiten;
das liegt au daran dass ich noch einiges für die anderen bereiche machen musste,";advance
"dann brauch ich noch eine unterschrift von Ihnen, und zwar is das hier die prü-fungsanmeldung, damit bestätigen Sie mir dass wie das abgesprochen haben;
in der dritten zeile unten.";advance
was machen Sie als schriftliche arbeit, im rahmen dieser be a prüfung und worüber schreiben sie da?;advance
"das sind auch so fünfundzwanzig bis dreißig seiten, die werd ich im fach ge-schichte schreiben,
 
 ";advance
"ich hab mir das thema noch nicht rausgesucht; also entweder über die entdeckung amerikas, halt mit dem niederschlagung des aztekenrei-ches, oder über direkte demokratie in den u es a deren entwicklung das is ein verein; wo ich auch aktiv bin.";advance
"da sind sechs wochen vorgesehen; ich werde natürlich vorher anfangen schon mal literatur zu suchen.";advance
"Sie wollen das überziehen; Sie glauben; dass Sie mit den sechs wochen nicht aus-kommen; oder?";advance
"ja ja; is gut war nur etwas auch gereizt, weil; vor Ihnen jemand  einen halbstundentermin sich hat reservieren lassen; und nicht gekommen is, ohne das abzusagen.";advance
"ja; ich war schon ma bei Ihnen, wegen meiner be a prüfung und Sie hatten gesagt, ich sollte anfang september noch mal wiederkommen;
und das habe ich jetzt
hiermit getan.";advance
wie war das, jetzt wollen wir über klausur auch sprechen, oder mündliche Prüfung?;advance
"ja; ich hatte mir jetz themen überlegt, weil ich ja in die NEUE prü-fungsordnung wechseln wollte,";advance
"die gabs ja schon immer; bei der be a prüfung; klausur, und mündliche prüfung aber da is jetz etwas anders ja als früher";advance
"
ja; also für mich ändern sich die anforde-rungen, dass ich jetz statt einem qualifizierten studiennachweis n teilnahmeschein brauche, vorher, und dann wohl  die klausuren wegfallen.";advance
"das is glaub
ich so, dass das sich dann um eine mündliche prüfung handelt; ich weiß jetz nicht genau wie lange.";advance
"ja; das entspricht ja im prinzip der ma-gisternebenfachprüfung; wahrscheinlich is das dann so;";advance
"ja; also ich weiß nicht ob das jetzt zu nah  an der hausarbeit ist, oder?";advance
"ja; ich hatte ursprünglich auch schon mal angedacht; über theodor  fontane mich prüfen zu lassen;";advance
"ach, bei herrn gross machen Sie den ich gar nicht persönlich kenne obwohl ich eigentlich ganz neugierig bin; irgendwie verschlafen den termir seiner antrittsvorlesung, haben
Sie die gehört?";advance
"Sie komm dann noch mal zu: mir, ; was ich brauche, vor der prüfung; ne woche vorher; et-wa; sag ich jetz schon, is ein thesenpapier, für jedes thema sollten Sie etwa sechs stichpunkte vorsehen; das müssen nicht ausformulierte sätze sein, das könn auch einfach nur knappe gliederungsstichpunkte sein;";advance
"ich komme wegen des exkursionsberichts; den ich Ihnen abgegeben hatte.";advance
is auch immer ganz schön, wenn Sie das schon vorbereiten diese eintragungen für andere, also selber eintragen, wann das war, ziel der exkursion war einmal bottrop und oberhausen, ne?;advance
also das geht um das seminar vom lesen und schreiben und da wollt ich einen kleinen schein abholen.;advance
"nein; das war in ordnung; die andern, die waren zum teil n bisschen sehr LANG, manchma is das schön, manchma is dann auch die sitzung gelaufen,
aber für einen TEILnahmeschein war das völlig in ordnung;";advance
also ich hatte in erinnerung, dass wir am anfang des seminars auf jeden fall gesagt haben fünf bis zehn minuten, und hab auch versucht, mich dran zu halten, und dann hab ich nachher bemerkt, die anderen haben sich nicht gerade dran gehalten.;advance
dann gehen wer rüber, und ich sag der frau bauer eben dass sie Ihnen den teilnahmeschein gibt.;advance
"Ich darf euch heute zur Unterrichtsstunde begrüßen.
Wir haben ja zuletzt über die Prüfung im Sekundarbereich gesprochen.
Da müssen wir draußen noch entsprechend die Tests durchführen.
Theoretisch haben wir das soweit abgeschlossen. Heute gehen wir einen Schritt weiter.";advance
Wer kann mir mal ganz kurz erklären, wie das Hall-Geber-Prinzip funktioniert? ;advance
"Sie können hier vorne auf den Beamer schauen, ich helfe Ihnen, oder Sie können auf Ihr Blatt schauen.
 ";advance
"Wer kann anfangen? Wir beginnen bei Zündung.
Was passiert bei Zündung?";advance
Sie müssen jetzt nicht den ganzen Plan machen, Sie können auch nur einen Teil bearbeiten, damit Sie nicht überfordert sind.;advance
